Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
jun/14;965.54;960.72;886.00;952.56;864.27;889.67;946.19;863.82;840.62;818.78;791.72;876.19;816.58;805.32;803.94;835.08;831.62;825.36;1034.97;976.48;901.50;944.28;840.25;902.61;891.17;868.13;905.41
jul/14;971.43;1002.88;886.54;953.76;865.19;894.20;946.00;863.66;841.03;842.36;789.65;880.44;817.89;815.80;804.31;833.31;838.66;824.63;1034.70;976.90;907.96;947.04;872.82;904.71;891.04;868.70;951.73
ago/14;972.97;1004.24;910.42;958.04;867.80;895.09;942.57;861.77;842.09;839.28;786.97;882.15;824.79;816.68;802.93;835.09;840.54;824.22;1036.04;978.36;926.67;940.79;874.16;907.11;933.87;898.69;955.45
set/14;973.22;1004.62;907.71;959.75;869.23;895.40;948.54;866.37;844.44;842.20;789.52;888.76;823.97;815.94;805.85;834.99;840.05;823.33;1039.36;980.09;925.94;949.50;875.54;906.56;933.61;899.28;958.83
out/14;973.92;1012.34;908.37;999.47;894.82;893.20;956.89;868.07;847.14;843.29;786.64;894.63;824.43;820.30;807.17;837.05;843.94;825.75;1042.91;980.26;926.98;954.50;878.33;908.36;931.85;894.36;959.98
nov/14;974.40;1016.10;909.94;996.06;893.59;899.96;958.86;863.77;851.73;843.12;790.55;900.69;857.23;827.30;807.59;837.68;839.14;830.61;1041.37;979.72;932.13;958.06;875.23;907.24;929.95;897.79;962.09
dez/14;974.13;1018.30;915.87;998.35;893.93;892.94;953.45;869.62;879.20;844.93;818.89;899.59;854.88;835.42;804.51;841.52;870.58;836.52;1044.48;978.13;933.35;966.49;879.10;905.66;933.62;905.88;962.44
jan/15;977.99;1018.64;919.70;1001.54;899.76;933.32;952.79;869.41;878.50;844.43;819.32;900.33;857.46;838.60;809.99;841.82;872.03;837.48;1046.63;980.30;932.69;975.45;878.82;906.19;933.62;907.16;964.58
fev/15;977.38;1016.88;919.43;1001.39;902.64;934.96;959.97;868.70;880.63;848.49;820.27;905.71;854.07;844.96;819.03;847.28;871.97;838.63;1046.93;981.48;931.47;976.67;883.82;913.51;934.54;912.72;963.98
mar/15;976.19;1021.02;926.10;999.12;903.54;934.40;960.73;889.72;884.32;848.45;821.82;907.91;851.05;850.37;823.15;846.84;872.36;839.07;1047.04;981.41;933.97;983.60;897.46;914.33;933.81;914.92;964.50
abr/15;982.48;1021.03;931.17;995.45;901.15;935.32;971.23;891.91;891.04;854.63;822.47;906.23;848.94;849.14;828.24;874.88;873.43;841.91;1046.88;987.23;938.03;988.90;899.21;913.78;935.45;915.25;962.51
mai/15;1017.86;1021.04;935.94;995.28;900.52;933.59;969.58;891.64;893.74;858.57;822.81;908.09;847.20;851.49;836.24;876.69;878.25;842.18;1084.91;1024.62;942.14;993.53;904.31;917.55;936.64;916.85;966.72
jun/15;1019.23;1059.74;938.85;1000.05;905.09;936.15;970.09;895.77;895.37;858.91;824.98;923.78;847.55;877.97;857.39;878.47;879.85;865.28;1089.21;1036.31;946.02;1026.68;906.29;948.49;937.43;918.96;967.87
jul/15;1022.19;1060.41;944.09;1001.77;913.29;937.07;993.28;897.30;894.31;886.91;827.83;927.09;848.34;878.66;861.69;879.50;884.42;874.68;1091.10;1040.97;950.70;1042.29;926.61;953.11;941.25;923.21;998.53
ago/15;1020.28;1062.05;974.44;1005.42;916.92;937.59;992.38;898.14;894.51;885.62;829.31;928.52;850.75;879.93;862.27;880.16;888.77;871.89;1087.00;1043.69;990.33;1043.55;946.99;954.55;971.40;959.32;998.51
set/15;1024.88;1071.13;980.12;1010.58;922.52;941.07;995.18;903.57;898.65;892.83;832.62;928.34;855.55;888.35;866.71;887.17;891.70;879.11;1082.35;1042.37;991.18;1052.05;946.68;953.95;975.23;958.95;999.22
out/15;1026.67;1074.46;989.12;1029.05;967.43;948.60;995.28;907.99;903.92;896.22;833.67;935.78;854.68;887.37;865.35;887.81;889.03;880.95;1082.26;1043.48;990.54;1051.04;945.38;951.92;975.57;960.96;999.46
nov/15;1031.11;1074.84;995.05;1028.80;969.30;952.82;1002.89;912.72;906.96;896.79;871.90;936.37;858.69;889.62;866.60;886.92;891.23;885.53;1084.25;1043.91;992.68;1057.09;949.81;956.37;976.53;963.68;1002.36
dez/15;1032.30;1068.72;995.46;1025.80;973.02;988.34;1009.13;912.49;905.00;895.69;868.88;934.24;858.40;891.27;864.05;887.50;891.55;881.99;1081.69;1045.34;996.29;1055.41;952.01;957.68;980.45;958.47;1005.84
jan/16;1033.87;1071.92;993.49;1028.10;980.78;992.52;1032.91;915.68;946.81;906.56;875.48;933.49;862.94;893.47;875.09;901.15;894.09;885.38;1083.26;1048.69;999.97;1055.68;952.41;962.22;986.36;962.30;1015.07
fev/16;1037.95;1074.45;998.13;1033.19;988.81;996.65;1035.20;923.11;952.54;911.56;877.56;939.66;905.32;898.34;875.75;906.17;900.82;891.07;1087.72;1055.28;1003.95;1062.75;974.01;968.28;986.02;967.63;1024.32
mar/16;1042.57;1076.82;997.15;1037.00;994.11;1001.86;1034.80;943.15;956.20;909.85;879.90;938.82;904.15;901.15;875.77;901.19;949.27;896.17;1091.19;1058.50;1012.58;1067.10;980.54;974.23;987.86;969.55;1026.20
abr/16;1044.00;1082.33;994.32;1037.24;997.09;1001.76;1039.27;939.84;956.01;914.81;876.36;969.50;905.66;906.13;903.15;931.25;951.79;899.04;1091.39;1056.60;1014.62;1070.12;982.91;981.24;991.45;974.76;1030.02
mai/16;1072.84;1081.70;990.28;1037.96;1001.17;1003.86;1039.26;942.98;960.09;917.52;876.36;967.10;909.39;906.11;901.05;935.13;952.84;899.45;1092.43;1091.10;1012.91;1073.88;986.39;1016.26;987.35;978.54;1030.74
jun/16;1073.77;1119.88;992.76;1036.88;1002.24;1000.77;1037.03;945.48;957.68;949.67;874.97;971.60;908.83;939.92;904.17;935.83;955.79;897.41;1149.31;1100.37;1011.61;1108.32;992.84;1018.45;986.10;981.92;1030.16
jul/16;1072.11;1122.87;990.08;1030.97;1004.55;1001.50;1042.42;966.74;957.90;949.64;875.02;972.82;910.66;943.12;904.72;939.48;955.94;903.52;1149.52;1101.09;1011.38;1116.17;992.93;1018.29;987.17;981.56;1030.64
ago/16;1069.68;1122.90;988.25;1028.64;1004.61;1009.39;1047.72;965.55;959.22;952.38;877.72;984.74;908.23;941.25;906.18;939.87;952.85;919.97;1147.14;1100.54;1011.69;1115.24;995.78;1020.48;1037.13;1012.37;1030.43
set/16;1069.77;1116.44;988.64;1085.41;1006.91;1012.88;1047.90;961.58;955.38;950.40;878.71;987.70;907.75;943.23;906.48;940.11;959.25;923.00;1146.71;1106.78;1013.73;1115.58;998.95;1016.17;1042.72;1013.14;1046.83
out/16;1069.98;1118.56;988.48;1086.22;1043.61;1015.16;1053.09;965.07;954.99;951.19;881.79;991.95;909.03;943.39;905.72;941.01;960.22;923.67;1146.94;1123.89;1013.43;1125.90;1021.39;1013.92;1044.61;1016.35;1048.41
nov/16;1072.32;1126.07;986.55;1086.16;1039.64;1018.48;1053.40;970.63;958.53;950.45;882.07;993.94;931.47;942.10;904.12;942.13;957.11;934.40;1144.14;1122.60;1011.62;1130.23;1022.05;1012.78;1049.95;1016.47;1047.71
dez/16;1065.77;1127.23;984.77;1086.28;1042.01;1016.11;1081.06;970.27;988.26;954.32;909.04;994.62;935.26;943.86;904.19;937.28;958.81;945.59;1148.06;1123.09;1056.92;1133.17;1022.73;1016.91;1045.45;1017.11;1070.97
jan/17;1065.71;1127.45;1020.57;1091.50;1039.77;1048.35;1087.03;976.53;988.19;956.34;909.91;993.01;956.54;941.44;905.88;941.27;959.42;945.52;1149.05;1127.11;1059.18;1135.83;1021.41;1016.18;1047.00;1022.52;1067.32
fev/17;1068.83;1125.53;1021.41;1089.23;1041.59;1050.77;1089.48;975.59;992.58;958.98;915.91;996.91;957.16;941.88;908.68;942.92;960.23;949.41;1146.80;1132.38;1059.31;1141.78;1024.04;1019.43;1045.89;1021.45;1069.88
mar/17;1072.43;1129.48;1026.11;1092.76;1038.80;1050.99;1101.85;1000.12;995.55;957.12;918.82;995.28;956.98;945.70;910.04;944.83;989.86;951.56;1146.09;1130.40;1062.23;1142.25;1027.74;1021.10;1050.84;1021.87;1073.01
abr/17;1068.47;1129.00;1030.07;1094.34;1037.44;1050.17;1102.13;1003.27;1000.18;957.26;924.37;1021.43;957.11;951.28;910.36;949.83;989.27;951.82;1148.48;1130.22;1060.17;1146.24;1029.35;1021.14;1049.93;1024.05;1071.98
mai/17;1065.28;1125.34;1028.43;1094.86;1034.86;1052.96;1109.08;1007.76;1002.66;957.14;927.75;1025.05;955.41;952.58;928.81;971.74;992.96;951.62;1147.98;1132.29;1058.79;1149.09;1032.82;1023.64;1047.47;1025.52;1073.72
jun/17;1088.58;1157.02;1030.03;1095.17;1034.44;1052.18;1107.10;1004.54;1003.19;955.87;930.66;1024.37;955.89;951.94;928.06;973.69;997.34;955.23;1154.07;1137.22;1058.96;1180.14;1030.23;1026.75;1052.11;1030.34;1096.60
jul/17;1089.73;1153.82;1028.15;1095.90;1030.17;1046.96;1118.71;1008.27;1003.56;956.03;934.41;1025.68;952.53;967.65;928.44;974.08;1001.97;966.04;1189.00;1140.71;1076.96;1183.55;1049.24;1048.72;1052.38;1025.72;1098.29
ago/17;1093.07;1158.94;1026.89;1093.93;1028.14;1049.29;1121.31;1012.36;1009.84;982.52;939.80;1024.10;955.01;969.99;928.51;972.38;1000.57;964.13;1189.51;1142.61;1074.71;1188.55;1052.09;1050.53;1054.15;1033.08;1103.27
set/17;1097.44;1164.40;1026.56;1095.16;1043.25;1048.57;1117.91;1015.56;1009.14;988.45;939.36;1027.92;957.34;976.21;927.95;978.00;999.92;967.13;1190.10;1144.77;1075.02;1192.80;1054.97;1055.09;1054.72;1036.77;1109.90
out/17;1102.66;1170.03;1030.32;1109.99;1043.33;1052.09;1122.18;1013.36;1009.55;986.33;939.93;1035.15;958.46;981.91;925.67;980.15;1000.04;965.87;1188.32;1145.72;1076.56;1196.55;1052.86;1056.21;1061.16;1062.33;1109.80
nov/17;1108.42;1171.82;1032.67;1112.09;1048.23;1053.41;1124.83;1015.31;1013.77;990.83;941.56;1034.83;971.01;987.52;931.68;984.43;1000.83;968.82;1190.83;1154.80;1077.96;1198.79;1056.26;1063.16;1079.28;1067.30;1118.40
dez/17;1110.88;1175.30;1031.12;1111.54;1047.55;1053.70;1121.66;1016.21;1013.74;993.49;963.98;1037.74;976.72;987.64;934.70;984.88;999.95;971.75;1193.36;1157.79;1078.35;1201.45;1058.21;1060.03;1079.16;1069.48;1123.01
jan/18;1110.92;1175.49;1033.87;1112.78;1047.56;1062.33;1120.81;1017.52;1017.99;993.97;984.94;1038.36;976.64;990.86;934.41;988.10;1000.89;975.59;1196.49;1166.18;1081.29;1200.63;1059.37;1058.24;1074.32;1069.15;1125.12
fev/18;1112.34;1173.87;1033.85;1114.66;1051.14;1063.86;1121.47;1021.67;1034.56;1002.90;985.22;1039.20;981.31;994.99;932.94;989.87;1001.85;979.75;1196.17;1170.51;1082.62;1207.52;1064.60;1059.61;1072.19;1076.22;1132.19
mar/18;1114.03;1175.53;1031.96;1114.12;1052.99;1052.29;1121.53;1025.08;1038.56;1005.05;992.28;1040.83;987.27;994.53;939.03;991.64;1002.51;979.24;1194.24;1173.22;1080.04;1212.15;1063.90;1063.51;1075.05;1074.77;1135.66
abr/18;1117.69;1177.75;1034.07;1117.82;1052.15;1052.67;1121.83;1028.58;1041.47;1008.69;998.20;1043.77;987.86;996.56;942.11;989.92;1016.92;984.06;1191.85;1172.33;1085.66;1211.98;1070.85;1063.08;1074.84;1082.24;1140.86
mai/18;1116.35;1175.47;1037.36;1125.59;1056.68;1052.68;1123.63;1031.09;1044.10;1015.40;1004.36;1045.29;995.63;994.50;941.95;996.73;1018.78;986.29;1196.62;1189.30;1090.79;1210.22;1072.39;1061.90;1077.39;1081.49;1145.79
jun/18;1123.49;1174.70;1036.17;1131.21;1060.32;1063.12;1123.44;1030.91;1044.35;1016.32;1004.80;1052.11;1008.47;993.63;944.43;1008.29;1025.68;992.33;1203.34;1196.73;1091.49;1228.70;1089.39;1064.64;1079.96;1080.38;1154.92
