Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
dez/00;283.34;291.54;335.67;403.54;316.30;329.76;325.49;287.00;253.06;289.80;283.74;272.38;292.56;319.53;261.41;307.12;289.53;272.53;356.15;373.31;339.77;327.93;337.09;302.09;286.30;304.46;346.46
jan/01;286.16;294.85;337.03;406.00;323.24;330.65;326.69;293.84;261.85;291.62;285.66;273.43;295.03;322.17;263.04;307.64;299.87;273.99;356.33;376.13;340.49;328.74;337.31;303.11;288.86;304.59;348.46
fev/01;287.67;296.85;337.30;404.95;324.18;329.10;326.81;295.36;263.85;292.84;285.97;274.51;294.77;322.11;265.80;307.67;302.33;274.36;357.19;376.76;342.21;331.15;337.98;304.63;289.90;303.82;349.90
mar/01;289.93;299.48;339.65;408.97;327.29;330.81;328.55;297.14;265.13;296.25;287.23;276.46;297.88;325.12;267.21;319.68;302.67;275.31;357.73;377.32;345.11;332.40;339.11;305.50;291.11;304.53;350.21
abr/01;291.49;302.44;339.96;412.70;328.35;331.72;330.45;300.32;266.20;299.42;288.10;284.22;297.98;327.45;268.09;320.83;302.99;275.79;357.79;378.00;345.16;332.76;342.52;308.00;293.24;307.56;350.43
mai/01;292.54;303.15;343.65;416.73;329.30;335.10;330.26;302.70;267.90;308.10;289.95;287.51;300.30;332.37;271.48;322.01;304.15;276.66;358.89;378.21;347.40;333.94;342.64;307.95;293.23;307.54;350.37
jun/01;296.65;304.40;345.29;419.12;329.73;340.93;332.71;306.07;270.34;308.35;292.16;288.37;301.59;344.06;272.49;322.43;306.79;286.86;371.20;386.29;348.22;336.18;343.99;315.52;298.49;319.25;361.06
jul/01;308.68;311.88;350.59;422.15;331.60;343.52;336.38;311.76;271.97;308.42;295.06;288.84;304.18;346.83;274.33;323.78;309.15;288.72;372.00;388.99;366.06;337.73;353.75;317.44;301.45;321.98;364.89
ago/01;311.28;314.78;364.18;425.04;332.27;348.04;346.07;312.44;273.03;309.99;295.72;290.57;306.18;347.05;275.23;326.69;312.12;290.45;372.56;389.67;367.89;339.05;354.87;320.44;310.38;325.67;367.93
set/01;314.60;314.84;364.43;425.95;333.89;348.17;346.58;315.32;274.22;311.55;296.84;290.96;308.54;350.87;277.69;329.09;315.02;293.08;377.92;393.58;369.87;341.54;355.86;322.91;316.16;327.31;368.94
